NestedWhiles;Features;Variants;BruteForce;Statements;FeatureLength;VAInterpreter;Assigns;FeatureExpressions;AndFeatureExpressions;Ifs;Whiles;WhilesWithExpr;Speedup
0.0;0.0;1.0;2.848055483333333E8;5.0;0.0;8.75851912E8;3.0;0.0;0.0;0.0;0.0;0.0;0.3258322925908291
0.0;1.0;2.0;5.5703937E8;6.0;1.0;8.57221004E8;4.0;1.0;0.0;0.0;0.0;0.0;0.6499299899920324
0.0;2.0;4.0;1.1118226653333333E9;7.0;2.0;8.529494556666666E8;5.0;2.0;0.0;0.0;0.0;0.0;1.3049061598376002
0.0;3.0;8.0;2.2599881483333335E9;8.0;3.0;8.720199013333334E8;6.0;3.0;0.0;0.0;0.0;0.0;2.5928822123577397
0.0;4.0;16.0;4.535387764333333E9;9.0;4.0;8.673577276666666E8;7.0;4.0;0.0;0.0;0.0;0.0;5.230377452543968
0.0;5.0;32.0;8.932711098666666E9;10.0;5.0;8.72938803E8;8.0;5.0;0.0;0.0;0.0;0.0;10.233863985447279
0.0;6.0;64.0;1.7785872539333332E10;11.0;6.0;8.542686483333334E8;9.0;6.0;0.0;0.0;0.0;0.0;20.83917047535368
0.0;7.0;128.0;3.5443846864666664E10;13.0;6.0;8.53760188E8;11.0;7.0;0.0;0.0;0.0;0.0;41.58125355590699
0.0;8.0;256.0;7.178538844233333E10;14.0;6.0;8.353331476666666E8;12.0;8.0;0.0;0.0;0.0;0.0;86.02077466360451
0.0;9.0;512.0;1.42299361909E11;15.0;6.0;8.36261522E8;13.0;9.0;0.0;0.0;0.0;0.0;170.34901950285897
0.0;10.0;1024.0;2.851972645533333E11;16.0;6.0;8.380534096666666E8;14.0;10.0;0.0;0.0;0.0;0.0;341.12582152563476
