Features;BruteForce;Variants;Statements;VAInterpreter;Assigns;FeatureExpressions;Ifs;AndFeatureExpressions;Whiles;Speedup
0.0;1.4079513333333334E7;1.0;6.0;5.3756805E7;5.0;0.0;0.0;0.0;1.0;0.2607024211879572
1.0;2.0167501E7;2.0;7.0;7.559004533333333E7;6.0;1.0;0.0;0.0;1.0;0.2682258238635198
2.0;4.0162939333333336E7;4.0;8.0;1.06334002E8;7.0;2.0;0.0;0.0;1.0;0.378075276091903
3.0;8.6852146E7;8.0;9.0;1.39807307E8;8.0;3.0;0.0;0.0;1.0;0.6212336091110285
4.0;1.60108885E8;16.0;10.0;1.7493223766666666E8;9.0;4.0;0.0;0.0;1.0;0.9161339811492547
5.0;3.263508023333333E8;32.0;11.0;2.11661911E8;10.0;5.0;0.0;0.0;1.0;1.5433495994640447
6.0;6.440220186666666E8;64.0;12.0;2.5649040666666666E8;11.0;6.0;0.0;0.0;1.0;2.5137885254601957
7.0;1.254740763E9;128.0;13.0;2.925850853333333E8;12.0;7.0;0.0;0.0;1.0;4.288560534887204
8.0;2.5000979143333335E9;256.0;14.0;3.36604008E8;13.0;8.0;0.0;0.0;1.0;7.4280219898243915
9.0;5.138420253666667E9;512.0;15.0;3.847057893333333E8;14.0;9.0;0.0;0.0;1.0;13.357868570375452
10.0;1.0110532759E10;1024.0;16.0;4.327703536666667E8;15.0;10.0;0.0;0.0;1.0;23.372075186356394
